itemLabel,universeLabel
Black Orchid,Killer Instinct
Dedalus Diggle,Harry Potter
Elphias Doge,Harry Potter
Kid Devil,DC
Lobster Johnson,Hellboy
Master Izo,Marvel
Nite-Wing,DC
Protector,DC
Robin Hood,DC
Tremor,Image
Wild Dog,DC
Yellowjacket,DC
Crimson Avenger,DC
Punisher 2099,Marvel
Frank Longbottom,Harry Potter
Dorcas Meadowes,Harry Potter
Edgar Bones,Harry Potter
Simon Dark,DC
Bluebird,DC
Sara Lance,Arrowverse
Knightfall,DC
Arno Dorian,Assassin's Creed
Silk,Marvel
Silk,Earth-616
Arkham Knight,DC
The Saint of Killers,DC
Spider-Woman,Marvel
John Diggle,Arrowverse
Thea Queen,Arrowverse
Bayek of Siwa,Assassin's Creed
Zari Tomaz,Arrowverse
Ann Takamaki,Persona
Leonard Snart,Arrowverse
Nora Darhk,Arrowverse
Ray Palmer,Arrowverse
Cassidy,Overwatch
Mona Wu,Arrowverse
Connor Hawke,Arrowverse
Behrad Tarazi,Arrowverse
Charlie,Arrowverse
Roy Harper,Arrowverse
Glory-Bee,Mickey Mouse
Hardball,Marvel
Backlash,Wildstorm
Manhunter,DC
KeHaan,DC
Kid Eternity,DC
Leap-Frog,Marvel
Lori Morning,DC
Luna,Earth-616
Manhattan Guardian,DC
Odan-Urr,Star Wars
Ol-Vir,DC
R. J. Brande,DC
Scarlet Spider,Marvel
Q3930736,Donald Duck
King Michael XIV,Mickey Mouse
Rond Vidar,DC
Sabine,Image
Sarge Steel,DC
Skyman,DC
Solo,Marvel
Sparkler,DC
Stel,DC
Stone Boy,DC
Supergirl,DC
Sylvester Pemberton,DC
Sylvester Pemberton,New Earth
Sylvester Pemberton,Earth-167
Sylvester Pemberton,Earth-2
Taj Junak,Star Wars
Tex Thompson,DC
Thundra,Marvel
Thundra,Earth-715
Turytt,DC
Tyroc,DC
Infinity-Man,DC
Vext,DC
Vodo-Siosk Baas,Star Wars
Weeper,DC
Yankee Poodle,DC
Hit-Monkey,Marvel
Bernadeth,DC
Adri Nital,Marvel
Alexandre LeRoi,DC
Alyssa Moy,Marvel
Ani-Mator,Marvel
Anna Fortune,DC
Anti-Matter Man,DC
Madman,Marvel
Arkillo,DC
Armory,Marvel
Beep the Meep,Whoniverse
Bekka,DC
